id	name	bpm	artist	duration_ms	external_url
3IzmjtSDG6DcaqauQL2aQA	The Moon Of Manakoora	80.75	Janet Seidel	190826	https://open.spotify.com/track/3IzmjtSDG6DcaqauQL2aQA
3pcysfjlnwm9fMKKHN01BZ	My Kinda Love - 2002 - Remastered; 24 Bit Mastering	86.13	Kay Starr	160733	https://open.spotify.com/track/3pcysfjlnwm9fMKKHN01BZ
6ZqtiRsanGiflCA3ALRJdZ	New Orleans	0.0	Engelbert Wröbel's Swing Society	295600	https://open.spotify.com/track/6ZqtiRsanGiflCA3ALRJdZ
1YpAtnRx4CWuD8WnRElLOd	Nevertheless	92.29	The Big Band Trio	203133	https://open.spotify.com/track/1YpAtnRx4CWuD8WnRElLOd
1GOUl7eDbLqOmGjjad4PX5	As Lovely Lovers Do	0.0	Alex Pangman	206666	https://open.spotify.com/track/1GOUl7eDbLqOmGjjad4PX5
3mR23aYSjVSqBCh6mZoSjA	Daddy Won't You Please Come Home	99.38	Midnight Serenaders	245200	https://open.spotify.com/track/3mR23aYSjVSqBCh6mZoSjA
30BLT6h1RHPQWONHnkziY9	Moon Ray	95.70	Alex Pangman	342053	https://open.spotify.com/track/30BLT6h1RHPQWONHnkziY9
62CuEoJqL7GLauOpnitTUp	The Same Old Love	92.29	Peoria Jazzband	270173	https://open.spotify.com/track/62CuEoJqL7GLauOpnitTUp
2HcyGVLMRGBvJUCh4Ga8aP	Makin' Whoopee	78.30	The Bourbon Street Stompers	357506	https://open.spotify.com/track/2HcyGVLMRGBvJUCh4Ga8aP
4dPpBrfPxWcYyE6aUb2WGE	Clair de lune	69.84	Avalon Jazz Band	238577	https://open.spotify.com/track/4dPpBrfPxWcYyE6aUb2WGE
6tCZxzjKMiWWemIqlJjoIK	Meet Me with Your Black Drawers On	80.75	Girls from Mars	228586	https://open.spotify.com/track/6tCZxzjKMiWWemIqlJjoIK
4PN5gbJNYWx9yQ6hJepPbG	Summertime	83.35	Sidney Bechet	252266	https://open.spotify.com/track/4PN5gbJNYWx9yQ6hJepPbG
2RnOXvx4PqxSgR1ct867xF	We Just Couldn't Say Goodbye	76.00	Girls from Mars	214186	https://open.spotify.com/track/2RnOXvx4PqxSgR1ct867xF
2lugXFEMf7qX7VJoJpHCUJ	Stop And Listen	99.38	Norbert Susemihl	234553	https://open.spotify.com/track/2lugXFEMf7qX7VJoJpHCUJ
5BshzvsigL1rsb2YAD2Q86	I Don't Want To Set The World On Fire	89.10	Preservation Hall Jazz Band	190880	https://open.spotify.com/track/5BshzvsigL1rsb2YAD2Q86
