id	name	bpm	artist	duration_ms	external_url	
3ug6VUqmjWdjQkL6fmWLcl	I Can't Give You Anything but Love	95.7	Fats Waller	175733	https://open.spotify.com/track/3ug6VUqmjWdjQkL6fmWLcl	
3KpiGSpVLx2vDiQHpzQEfI	The Mermaid	95.7	Gaucho	263440	https://open.spotify.com/track/3KpiGSpVLx2vDiQHpzQEfI	
30BLT6h1RHPQWONHnkziY9	Moon Ray	95.7	Alex Pangman	342053	https://open.spotify.com/track/30BLT6h1RHPQWONHnkziY9	
744kYsIgyu3bJ67crqBaVW	I Gotta Right to Sing the Blues	99.38	Maxine Sullivan	167400	https://open.spotify.com/track/744kYsIgyu3bJ67crqBaVW	
3sfxRo67EdxWOS9STSP2CA	Up a Lazy River	99.38	Gelber & Manning	177240	https://open.spotify.com/track/3sfxRo67EdxWOS9STSP2CA	
3mR23aYSjVSqBCh6mZoSjA	Daddy Won't You Please Come Home	99.38	Midnight Serenaders	245200	https://open.spotify.com/track/3mR23aYSjVSqBCh6mZoSjA	
2lugXFEMf7qX7VJoJpHCUJ	Stop And Listen	99.38	Norbert Susemihl	234553	https://open.spotify.com/track/2lugXFEMf7qX7VJoJpHCUJ	
1dYNNcJlxnzx5HSur9cMYO	Dirt Dishin' Daisy	99.38	Midnight Serenaders	304506	https://open.spotify.com/track/1dYNNcJlxnzx5HSur9cMYO	
0vg18XdzWN8iGn4SxPK4yW	I've Got the World On a String - 1995 Remastered	100	Coleman Hawkins	335773	https://open.spotify.com/track/0vg18XdzWN8iGn4SxPK4yW	
2BQGChM7iE5TJYOCsRmbPx	Petite Fleur	103	The Big Chief Jazz Band	168413	https://open.spotify.com/track/2BQGChM7iE5TJYOCsRmbPx	
5wpRJYuPrSLanI5EQchKnu	Moonglow - Take 1	103.36	Benny Goodman Quartet	203173	https://open.spotify.com/track/5wpRJYuPrSLanI5EQchKnu	
2C4XTddoazuGOH7Qi4B0RL	Way Down Yonder in New Orleans	103.36	Jack Teagarden	212653	https://open.spotify.com/track/2C4XTddoazuGOH7Qi4B0RL	
75icYafEjMdGf8i9vBoCsM	Egyptian Fantasy	103.36	The Solomon Douglas Swingtet	268920	https://open.spotify.com/track/75icYafEjMdGf8i9vBoCsM	
47PeU7a1eNH0pEqaZ8zYic	Easy Living	103.36	Lester's Blues	163413	https://open.spotify.com/track/47PeU7a1eNH0pEqaZ8zYic	
1ktPNawrtTZCPtZAeaMfJo	Mood Indigo	103.36	Jimmie Lunceford	172800	https://open.spotify.com/track/1ktPNawrtTZCPtZAeaMfJo	
65ExFUBq5ewtFYKw1CEIWR	Twenty-Four Hours a Day (feat. Billie Holiday) - Take 1	107.67	Teddy Wilson	179933	https://open.spotify.com/track/65ExFUBq5ewtFYKw1CEIWR	
56DckL41gLE007cLet3JeW	Music Maestro Please	107.67	Geoff Cole's Hot Five	230226	https://open.spotify.com/track/56DckL41gLE007cLet3JeW	
69LTMJ53Qr9FOtdj0FWMT6	Jamaica Jam	107.67	Teddy Powell	165986	https://open.spotify.com/track/69LTMJ53Qr9FOtdj0FWMT6	
1tcyIJ7YmEtjQ4lINSyyCK	Mélodie au crepuscule	107.67	Stephane Wrembel	231275	https://open.spotify.com/track/1tcyIJ7YmEtjQ4lINSyyCK	
3Iq1E6SnLRbyET6H6GyK8Z	Bouncing Around	107.67	Django Reinhardt	163640	https://open.spotify.com/track/3Iq1E6SnLRbyET6H6GyK8Z	
18Qu2MK93VADxqHFYctpql	Scotch & Soda	107.67	Lou Rawls	178626	https://open.spotify.com/track/18Qu2MK93VADxqHFYctpql	
6LbZi9dFSVIIV98weFr68k	After Tonight (09-01-33)	107.67	Clarence Williams	187133	https://open.spotify.com/track/6LbZi9dFSVIIV98weFr68k	
56bBGdi28eEZqvIHZ8kktB	Indian Summer	107.67	Sidney Bechet	188880	https://open.spotify.com/track/56bBGdi28eEZqvIHZ8kktB	
3RlWrENFyPbFZIQYH8yiRN	Im Confessin	108	Harry James	201289	https://open.spotify.com/track/3RlWrENFyPbFZIQYH8yiRN	
1AwBPJOJuyAxIBKyhg153s	St. Louis Blues	112	Django Reinhardt	162733	https://open.spotify.com/track/1AwBPJOJuyAxIBKyhg153s	
5emTvkR0sZcQgbLcsikAhg	Harlem On Saturday Night (09-09-38)	112.35	Lil Hardin Armstrong	162973	https://open.spotify.com/track/5emTvkR0sZcQgbLcsikAhg	
4WilSK8Cj1hFxKINbXMjB8	(What I Did To Be So) Black And Blue	112.35	Muggsy Spanier	160040	https://open.spotify.com/track/4WilSK8Cj1hFxKINbXMjB8	
7BHeKUfuCIDYG0dOewz1aM	Canoe	112.35	Kat Edmonson	180986	https://open.spotify.com/track/7BHeKUfuCIDYG0dOewz1aM	
2eR6M1S3fArShxKYoBSPiq	How's About It Baby	112.35	Kat Edmonson	191906	https://open.spotify.com/track/2eR6M1S3fArShxKYoBSPiq	
5Fd9M8n3supKGEbkHBZ5hg	J'Attendrai	112.35	Alan Silvestri	179146	https://open.spotify.com/track/5Fd9M8n3supKGEbkHBZ5hg	
27kmBYFXViSgPCa7tZXXmI	We Can't Go On This Way	112.35	Miss Sophie Lee	233813	https://open.spotify.com/track/27kmBYFXViSgPCa7tZXXmI	
78is8pn0us3cW10GX4srxw	Loose Lid Special	115.5	Tommy Dorsey	166360	https://open.spotify.com/track/78is8pn0us3cW10GX4srxw	
3iSfnD8bYT5XeXOdvogSXU	Tears	116	Django Reinhardt	160653	https://open.spotify.com/track/3iSfnD8bYT5XeXOdvogSXU	
2e9vV2Z8eqxEJzvVbLZcnV	Knock Me A Kiss	117.45	Louis Jordan & His Tympany Five	168626	https://open.spotify.com/track/2e9vV2Z8eqxEJzvVbLZcnV	
6Vs3qEiLCzmBn40AcAdmz2	Bleu Citron	123.05	Dorado Schmitt	151853	https://open.spotify.com/track/6Vs3qEiLCzmBn40AcAdmz2	
4YxtmrqQxxkZ0dMf0QHDxQ	Special Delivery Stomp	129.2	Artie Shaw	164293	https://open.spotify.com/track/4YxtmrqQxxkZ0dMf0QHDxQ	
5UMBoM4CwwFQgLWHZntkBp	La Vie En Rose	136	Gypsy Jazz Caravan	228493	https://open.spotify.com/track/5UMBoM4CwwFQgLWHZntkBp	
3WfP2AJvMYfHZQybvORH88	Dark Eyes	136	Jonathan Stout and his Campus Five	202480	https://open.spotify.com/track/3WfP2AJvMYfHZQybvORH88	
26zJinKqbORQyrDyMFLQhS	Blues My Naughty Sweetie Gives To Me	144.7	Sidney Bechet	343040	https://open.spotify.com/track/26zJinKqbORQyrDyMFLQhS	
2CDdPz7jB9IhJ3a2Qt2gs5	A Study In Red	152	Larry Clinton	195600	https://open.spotify.com/track/2CDdPz7jB9IhJ3a2Qt2gs5	
1KBp2nkk1VF0b9KRoBbEYp	Winter Weather - Mono Recording	152	Peggy Lee	180333	https://open.spotify.com/track/1KBp2nkk1VF0b9KRoBbEYp	
1jUY18qwGMHCEkAKMXdtA2	Smiles - 1996 Remastered	152	Benny Goodman Quartet	179400	https://open.spotify.com/track/1jUY18qwGMHCEkAKMXdtA2	
